ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
E4C108D00451D309,docked_bike,2020-01-24 16:22:05,2020-01-24 16:24:25,Clinton St & Washington Blvd,91,Canal St & Adams St,192,41.8834,-87.6412,41.8793,-87.6399,member
7C8E36A9992AD3E9,docked_bike,2020-01-24 16:04:17,2020-01-24 16:08:44,Orleans St & Merchandise Mart Plaza,100,Clinton St & Washington Blvd,91,41.8882,-87.6364,41.8834,-87.6412,member
7E26AA00E28B243C,docked_bike,2020-01-24 7:18:07,2020-01-24 7:27:38,Canal St & Adams St,192,Orleans St & Merchandise Mart Plaza,100,41.8793,-87.6399,41.8882,-87.6364,member
C9A616A92AF8E5CE,docked_bike,2020-01-23 12:36:57,2020-01-23 12:39:54,Ellis Ave & 53rd St,418,Ellis Ave & 55th St,420,41.7993,-87.601,41.7943,-87.6015,member
DC1DBFE4179C8DD4,docked_bike,2020-01-21 19:06:43,2020-01-21 19:16:04,Ellis Ave & 58th St,328,Ellis Ave & 53rd St,418,41.7887,-87.6013,41.7993,-87.601,member
40FDC1743E37B5DD,docked_bike,2020-01-22 14:01:58,2020-01-22 14:04:56,Kimbark Ave & 53rd St,322,Ellis Ave & 53rd St,418,41.7996,-87.5947,41.7993,-87.601,member
36337E9CA3CD61B5,docked_bike,2020-01-31 21:52:58,2020-01-31 22:04:04,Desplaines St & Kinzie St,56,Wabash Ave & Wacker Pl,194,41.8887,-87.6444,41.8869,-87.626,casual
4DD3BB3D9DBF1E6C,docked_bike,2020-01-31 19:56:27,2020-01-31 20:45:38,Morgan St & Lake St,71,Desplaines St & Kinzie St,56,41.8855,-87.6523,41.8887,-87.6444,casual
33231AB794BF1479,docked_bike,2020-01-22 16:39:05,2020-01-22 17:03:08,Clark St & Randolph St,51,Morgan Ave & 14th Pl,137,41.8846,-87.6319,41.8624,-87.6511,member
ABFAC2AD762CB51F,docked_bike,2020-01-19 18:32:36,2020-01-19 18:37:26,Broadway & Barry Ave,300,Halsted St & Roscoe St,299,41.9377,-87.6441,41.9437,-87.649,member
1B776B7086466E3D,docked_bike,2020-01-23 8:42:57,2020-01-23 8:51:26,Hoyne Ave & Balmoral Ave,655,Ravenswood Ave & Lawrence Ave,344,41.9799,-87.6819,41.9691,-87.6742,member
DB61F7B62B10CDD5,docked_bike,2020-01-29 13:55:13,2020-01-29 13:57:47,Kimbark Ave & 53rd St,322,Ellis Ave & 53rd St,418,41.7996,-87.5947,41.7993,-87.601,member
8BDCAB9770833AC4,docked_bike,2020-01-09 14:01:17,2020-01-09 14:03:57,Ellis Ave & 55th St,420,Ellis Ave & 53rd St,418,41.7943,-87.6015,41.7993,-87.601,member
